"CView Export Data File: Version 2.0"
"Export From File: c:\users\mikehome\appdata\local\programs\python\python36-32\lipf6-ppc-bare_al_no_clean-galvcyc-5-corr.txt"
  lithium intercalation bare Al without plasma clean AL30

  Open Circuit Potential (V): -1.935
"Time (Sec)"	"E (Volts)"
8540.2	0.43
8541.2	0.43
8542.2	0.43
8543.2	0.43
8544.2	0.43
8545.2	0.43
8546.2	0.43
8547.2	0.43
8548.2	0.43
8549.2	0.43
8550.2	0.43
8551.2	0.43
8552.2	0.43
8553.2	0.43
8554.2	0.43
8555.2	0.43
8556.2	0.43
8557.2	0.43
8558.2	0.43
8559.2	0.43
8560.2	0.43
8561.2	0.43
8562.2	0.43
8563.2	0.43
8564.2	0.43
8565.2	0.43
8566.2	0.43
8567.2	0.43
8568.2	0.43
8569.2	0.43
8570.2	0.43
8571.2	0.43
8572.2	0.43
8573.2	0.43
8574.2	0.43
8575.2	0.43
8576.2	0.43
8577.2	0.43
8578.2	0.43
8579.2	0.43
8580.2	0.43
8581.2	0.43
8582.2	0.43
8583.2	0.43
8584.2	0.43
8585.2	0.43
8586.2	0.43
8587.2	0.43
8588.2	0.43
8589.2	0.43
8590.2	0.43
8591.2	0.43
8592.2	0.43
8593.2	0.43
8594.2	0.43
8595.2	0.43
8596.2	0.43
8597.2	0.43
8598.2	0.43
8599.2	0.43
8600.2	0.43
8601.2	0.43
8602.2	0.43
8603.2	0.43
8604.2	0.43
8605.2	0.43
8606.2	0.425
8607.2	0.425
8608.2	0.43
8609.2	0.43
8610.2	0.43
8611.2	0.425
8612.2	0.43
8613.2	0.425
8614.2	0.425
8615.2	0.43
8616.2	0.425
8617.2	0.43
8618.2	0.425
8619.2	0.425
8620.2	0.425
8621.2	0.425
8622.2	0.425
8623.2	0.43
8624.2	0.425
8625.2	0.425
8626.2	0.425
8627.2	0.43
8628.2	0.425
8629.2	0.43
8630.2	0.425
8631.2	0.425
8632.2	0.425
8633.2	0.425
8634.2	0.425
8635.2	0.425
8636.2	0.425
8637.2	0.43
8638.2	0.43
8639.2	0.43
8640.2	0.43
8641.2	0.43
8642.2	0.43
8643.2	0.43
8644.2	0.43
8645.2	0.43
8646.2	0.43
8647.2	0.425
8648.2	0.43
8649.2	0.425
8650.2	0.425
8651.2	0.425
8652.2	0.425
8653.2	0.425
8654.2	0.43
8655.2	0.425
8656.2	0.43
8657.2	0.425
8658.2	0.425
8659.2	0.425
8660.2	0.425
8661.2	0.43
8662.2	0.425
8663.2	0.425
8664.2	0.425
8665.2	0.425
8666.2	0.425
8667.2	0.425
8668.2	0.43
8669.2	0.425
8670.2	0.43
8671.2	0.425
8672.2	0.425
8673.2	0.425
8674.2	0.425
8675.2	0.425
8676.2	0.425
8677.2	0.425
8678.2	0.425
8679.2	0.425
8680.2	0.425
8681.2	0.425
8682.2	0.425
8683.2	0.425
8684.2	0.425
8685.2	0.425
8686.2	0.425
8687.2	0.425
